player_height,player_weight,pts,reb,ast,net_rating,usg_pct,ts_pct
208.28,104.32616,6.1,3.5,1.3,-0.3,0.127,0.54
215.9,124.7378,4.4,1.9,0.2,-3.5,0.239,0.485
198.12,90.7184,11,2.9,1.7,-1.2,0.163,0.565
226.06,134.263232,13.5,8.2,1.7,2.2,0.222,0.57
205.74,114.758776,8.4,4.5,0.5,-4,0.228,0.555
213.36,116.573144,6.6,3.1,0.3,5.5,0.199,0.596
210.82,115.212368,2,1.3,0,2.8,0.258,0.51
220.98,117.93392,17.2,7.5,1.6,-7.9,0.279,0.516
195.58,94.800728,9,4.4,3.5,3.9,0.158,0.497
213.36,99.336648,6.6,2.9,0.9,-1,0.183,0.521
210.82,111.13004,11.7,10.2,1.3,-2.7,0.166,0.526
193.04,94.800728,3,0,0.5,0.7,0.198,0.615
185.42,77.11064,14.2,2.3,5.7,2.7,0.213,0.531
203.2,99.79024,4.4,2.8,0.6,9.2,0.137,0.533
203.2,100.243832,6.8,1.9,1.3,1.9,0.173,0.528
205.74,102.0582,9.7,5.7,0.7,-2.5,0.214,0.542
203.2,97.52228,2.6,0.9,0.4,-0.8,0.213,0.428
198.12,102.0582,4.1,2.9,1.5,8.5,0.15,0.47
205.74,97.52228,3.3,1.1,0.6,-3.8,0.164,0.546
205.74,100.243832,3.7,2.6,0.5,-4.3,0.154,0.5
208.28,104.32616,8.7,7.5,0.9,-0.7,0.153,0.512
187.96,85.728888,4.3,2,2.6,3.3,0.224,0.499
213.36,117.93392,23.3,12.9,3.9,9.1,0.279,0.564
182.88,88.45044,4.9,1.5,2.4,15.5,0.21,0.483
208.28,108.86208,13.3,4.9,1.3,-0.4,0.225,0.527
193.04,86.18248,1.2,0.8,0.6,-5.3,0.237,0.354
213.36,115.66596,7.1,4.7,0.5,-4.4,0.172,0.548
208.28,113.398,4.8,3.7,1.1,-8.3,0.171,0.474
210.82,106.59412,11.6,4.2,3.7,7.9,0.214,0.551
210.82,108.86208,7.3,6.5,0.7,5.4,0.13,0.578
187.96,85.728888,9.8,3.5,2.2,-0.7,0.165,0.547
205.74,113.398,4.7,2.7,0.3,-5,0.189,0.508
187.96,81.64656,15.5,2.6,5.3,8.9,0.228,0.542
203.2,95.25432,32.1,6.5,5.5,3.5,0.35,0.564
200.66,103.418976,2,0.7,0.4,-15.9,0.199,0.407
180.34,83.460928,8.4,2,3.5,-7.4,0.193,0.473
213.36,106.59412,1.9,1.9,0.4,-3.4,0.127,0.424
195.58,90.7184,4.2,3.1,1.8,-10.2,0.112,0.411
187.96,86.18248,1.3,0.8,1.1,-1.2,0.118,0.425
185.42,81.64656,4,0.8,0.9,1.7,0.148,0.552
187.96,79.3786,7.8,2.3,4.1,-7.4,0.206,0.51
203.2,108.86208,5,2.9,0.3,0.8,0.195,0.476
195.58,83.460928,12.8,4.6,3.1,-0.9,0.209,0.521
195.58,88.45044,16.4,3.9,4.5,-2.8,0.227,0.497
195.58,97.52228,3.6,0.3,0.3,-0.1,0.236,0.482
205.74,104.32616,2.7,2,0.3,-1.6,0.164,0.466
205.74,107.954896,5.5,1.8,0.7,-5.6,0.272,0.494
187.96,88.45044,9.7,2,2.4,-13.2,0.26,0.434
203.2,117.93392,4.8,3,0.3,-4,0.189,0.521
215.9,111.583632,2.1,2.5,0.5,0.9,0.141,0.455
210.82,108.86208,11.4,7.5,1.1,-5.5,0.21,0.489
195.58,92.98636,10.3,3,2,2.8,0.2,0.494
205.74,97.52228,2.5,1.4,0,-14.9,0.161,0.661
208.28,115.66596,9.6,5.3,0.7,-8.3,0.198,0.455
200.66,115.66596,10.4,6.4,1.6,6.3,0.223,0.538
213.36,115.66596,5.5,3.7,0.3,-3.2,0.164,0.514
